CVE,info,name,release,title,update,url
CVE-2018-14341,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。DICOM dissector是其中的一个DICOM通信协议解析器。,Wireshark DICOM解析器安全漏洞,2018-07-20,Wireshark DICOM解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1579
CVE-2018-14340,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。,Wireshark解析器安全漏洞,2018-07-20,Wireshark解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1580
CVE-2018-14339,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。MMSE dissector是其中的一个MMSE协议解析器。,Wireshark MMSE解析器安全漏洞,2018-07-20,Wireshark MMSE解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1581
CVE-2018-14368,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。Bazaar protocol dissector是其中的一个Bazaar协议解析器。,Wireshark Bazaar protocol解析器安全漏洞,2018-07-20,Wireshark Bazaar protocol解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1574
CVE-2018-14343,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。ASN.1 BER dissector是其中的一个ASN.1 BER编解码解析器。,Wireshark ASN.1 BER解析器安全漏洞,2018-07-20,Wireshark ASN.1 BER解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1577
CVE-2018-14342,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。DICOM dissector是其中的一个DICOM通信协议解析器。,Wireshark DICOM解析器安全漏洞,2018-07-20,Wireshark DICOM解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1578
CVE-2018-14369,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。HTTP2 dissector是其中的一个超文本传输协议解析器。,Wireshark HTTP2解析器安全漏洞,2018-07-20,Wireshark HTTP2解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1573
CVE-2018-14367,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。CoAP protocol dissector是其中的一个CoAP协议解析器。,Wireshark CoAP protocol解析器安全漏洞,2018-07-20,Wireshark CoAP protocol解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1575
CVE-2018-14370,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。IEEE 802.11 protocol dissector是其中的一个IEEE 802.11协议解析器。,Wireshark IEEE 802.11 protocol解析器安全漏洞,2018-07-20,Wireshark IEEE 802.11 protocol解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1572
CVE-2018-14344,Wireshark（前称Ethereal）是Wireshark团队开发的一套网络数据包分析软件。该软件的功能是截取网络数据包，并显示出详细的数据以供分析。ISMP dissector是其中的一个ISMP协议解析器。,Wireshark ISMP解析器安全漏洞,2018-07-20,Wireshark ISMP解析器安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1576
CVE-2018-1529,IBM Rational DOORS Next Generation（DNG）和Rational Requirements Composer（RRC）都是美国IBM公司的需求管理解决方案。该方案主要用于定义、管理和报告项目生命周期中的需求。,IBM Rational DOORS Next Generation和Rational Requir...,2018-07-20,IBM Rational DOORS Next Generation和Rational Requirements Composer 跨站脚本漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1561
CVE-2018-14395,FFmpeg是FFmpeg团队的一套可录制、转换以及流化音视频的完整解决方案。,FFmpeg 安全漏洞,2018-07-20,FFmpeg 安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1569
CVE-2018-14394,FFmpeg是FFmpeg团队的一套可录制、转换以及流化音视频的完整解决方案。,FFmpeg 安全漏洞,2018-07-20,FFmpeg 安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1570
CVE-2018-1587,IBM Rational Software Architect（RSA）Design Manager和Rational Rhapsody Design Manager都是美国IBM公司的产品。RSA Design Manager是一套基于Jazz技术的协作式软件设计和开发平台。Rational Rhapsody Design Manager是一款通过中心设计存储库对设计和模型进行存储、共享、搜索和管理的软件。,IBM Rational Rhapsody Design Manager和Rational Soft...,2018-07-20,IBM Rational Rhapsody Design Manager和Rational Software Architect Design Manager 安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1557
CVE-2018-14392,MyBB（又名MyBulletinBoard）是MyBB团队开发的一套用PHP和MySQL开发的免费且基于Web的论坛软件。New Threads plugin是使用在其中的一个主题插件。,MyBB New Threads插件跨站脚本漏洞,2018-07-20,MyBB New Threads插件跨站脚本漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1571
CVE-2018-1536,IBM Rational Software Architect（RSA）Design Manager和Rational Rhapsody Design Manager都是美国IBM公司的产品。RSA Design Manager是一套基于Jazz技术的协作式软件设计和开发平台。Rational Rhapsody Design Manager是一款通过中心设计存储库对设计和模型进行存储、共享、搜索和管理的软件。,IBM Rational Rhapsody Design Manager和Rational Soft...,2018-07-20,IBM Rational Rhapsody Design Manager和Rational Software Architect Design Manager 跨站脚本漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1559
CVE-2018-14401,,AXML Parser 安全漏洞,2018-07-19,AXML Parser 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1567
CVE-2018-14404,,libxml2 安全漏洞,2018-07-19,libxml2 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1562
CVE-2016-9574,,nss 安全漏洞,2018-07-19,nss 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1564
CVE-2018-14403,,MP4v2 安全漏洞,2018-07-19,MP4v2 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1565
CVE-2018-5534,,F5 BIG-IP 安全漏洞,2018-07-19,F5 BIG-IP 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1554
CVE-2018-14399,PHPCMS是中国盛大网络（Shanda）公司的一套基于PHP和Mysql架构的网站内容管理系统。该系统包括新闻、图片、下载、信息、产品等模块。,PHPCMS 安全漏洞,2018-07-20,PHPCMS 安全漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1568
CVE-2018-1585,IBM Rational Software Architect（RSA）Design Manager和Rational Rhapsody Design Manager都是美国IBM公司的产品。RSA Design Manager是一套基于Jazz技术的协作式软件设计和开发平台。Rational Rhapsody Design Manager是一款通过中心设计存储库对设计和模型进行存储、共享、搜索和管理的软件。,IBM Rational Rhapsody Design Manager和Rational Soft...,2018-07-20,IBM Rational Rhapsody Design Manager和Rational Software Architect Design Manager 跨站脚本漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1558
CVE-2018-5533,,F5 BIG-IP 安全漏洞,2018-07-19,F5 BIG-IP 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1555
CVE-2018-5540,,F5 BIG-IP 安全漏洞,2018-07-19,F5 BIG-IP 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1552
CVE-2018-1535,IBM Rational Software Architect（RSA）Design Manager和Rational Rhapsody Design Manager都是美国IBM公司的产品。RSA Design Manager是一套基于Jazz技术的协作式软件设计和开发平台。Rational Rhapsody Design Manager是一款通过中心设计存储库对设计和模型进行存储、共享、搜索和管理的软件。,IBM Rational Rhapsody Design Manager和Rational Soft...,2018-07-20,IBM Rational Rhapsody Design Manager和Rational Software Architect Design Manager 跨站脚本漏洞,2018-07-20,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1560
CVE-2018-5535,,F5 BIG-IP 安全漏洞,2018-07-19,F5 BIG-IP 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1553
CVE-2018-10620,,AVEVA InduSoft Web Studio 安全漏洞,2018-07-19,AVEVA InduSoft Web Studio 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1550
CVE-2018-5532,,F5 BIG-IP 安全漏洞,2018-07-19,F5 BIG-IP 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1556
CVE-2018-14332,,Clementine Music Player 安全漏洞,2018-07-19,Clementine Music Player 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1551
CVE-2018-14423,,OpenJPEG 安全漏洞,2018-07-19,OpenJPEG 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1549
CVE-2018-3871,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1543
CVE-2018-3858,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1547
CVE-2018-3870,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1544
CVE-2018-3859,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1546
CVE-2018-3860,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1545
CVE-2018-3857,,Canvas Draw 安全漏洞,2018-07-19,Canvas Draw 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1548
CVE-2017-18343,,Symfony 安全漏洞,2018-07-19,Symfony 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1538
CVE-2018-14434,,ImageMagick 安全漏洞,2018-07-19,ImageMagick 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1537
CVE-2018-10869,,redhat-certification 安全漏洞,2018-07-19,redhat-certification 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1540
CVE-2018-14336,,TP-Link WR840N 安全漏洞,2018-07-19,TP-Link WR840N 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1541
CVE-2018-12959,,Aditus 安全漏洞,2018-07-19,Aditus 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1542
CVE-2018-10870,,redhat-certification 安全漏洞,2018-07-19,redhat-certification 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1539
CVE-2018-14436,,ImageMagick 安全漏洞,2018-07-19,ImageMagick 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1535
CVE-2018-14437,,ImageMagick 安全漏洞,2018-07-19,ImageMagick 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1534
CVE-2018-14439,,espritblock eos4j 安全漏洞,2018-07-19,espritblock eos4j 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1532
CVE-2018-14435,,ImageMagick 安全漏洞,2018-07-19,ImageMagick 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1536
CVE-2018-14438,,Wireshark 安全漏洞,2018-07-19,Wireshark 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1533
CVE-2018-14402,,axmldec 安全漏洞,2018-07-19,axmldec 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1566
CVE-2018-12911,,WebKitGTK+ 安全漏洞,2018-07-19,WebKitGTK+ 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1563
CVE-2018-14441,,cckevincyh SSH CompanyWebsite 安全漏洞,2018-07-19,cckevincyh SSH CompanyWebsite 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1530
CVE-2018-14379,MP4v2是一个使用C++编写的用于处理MP4容器的开源库。,MP4v2 安全漏洞,2018-07-19,MP4v2 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1529
CVE-2018-14440,,cckevincyh SSH CompanyWebsite 安全漏洞,2018-07-19,cckevincyh SSH CompanyWebsite 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1531
CVE-2018-10871,Red Hat 389-ds-base是美国红帽（Red Hat）公司的一个包括了Linux目录服务器和服务器管理命令行程序的软件包。,Red Hat 389-ds-base 安全漏洞,2018-07-19,Red Hat 389-ds-base 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1527
CVE-2018-2882,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。MICROS Retail-J是其中的一个高级零售系统组件。,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1523
CVE-2018-14371,Eclipse Mojarra是Eclipse基金会的一个JavaServer Faces规范（JSR-372）的实现，它主要用于为Web应用程序构建基于组件的用户界面。,Eclipse Mojarra 安全漏洞,2018-07-19,Eclipse Mojarra 安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1528
CVE-2018-2888,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。MICROS Retail-J是其中的一个高级零售系统组件。,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1522
CVE-2018-2767,Oracle MySQL是美国甲骨文（Oracle）公司的一套开源的关系数据库管理系统。MySQL Server component是其中的一个数据库服务器组件。,Oracle MySQL Server组件安全漏洞,2018-07-19,Oracle MySQL Server组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1525
CVE-2018-2598,Oracle MySQL是美国甲骨文（Oracle）公司的一套开源的关系数据库管理系统。该数据库系统具有性能高、成本低、可靠性好等特点。MySQL Workbench是其中的一个专为MySQL设计的具有数据库建模功能的组件。,Oracle MySQL Workbench组件安全漏洞,2018-07-19,Oracle MySQL Workbench组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1526
CVE-2018-2903,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1512
CVE-2018-2901,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1513
CVE-2018-2897,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE En...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Enterprise Limits and Collateral Management组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1517
CVE-2018-2898,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE In...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Investor Servicing组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1516
CVE-2018-2899,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。FLEXCUBE Universal Banking是其中的一个实时的、在线覆盖零售、团体、投资银行业务的综合性解决方案组件。,Oracle Financial Services Applications FLEXCUBE Un...,2018-07-19,Oracle Financial Services Applications FLEXCUBE Universal Banking组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1515
CVE-2018-2892,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1520
CVE-2018-2896,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。Banking Payments是其中的一个银行付款组件。,Oracle Financial Services Applications Banking Pay...,2018-07-19,Oracle Financial Services Applications Banking Payments组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1518
CVE-2018-2900,Oracle Fusion Middleware（Oracle融合中间件）是美国甲骨文（Oracle）公司的一套面向企业和云环境的业务创新平台，该平台提供了中间件、软件集合等功能。BI Publisher（前称XML Publisher）是其中的一个报表组件。,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,Oracle Fusion Middleware BI Publisher组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1514
CVE-2018-2895,Oracle Financial Services Applications是美国甲骨文（Oracle）公司的一套集核心银行、网上银行和财产管理于一身的金融服务软件。Banking Corporate Lending是其中的一个银行贷款管理组件。,Oracle Financial Services Applications Banking Cor...,2018-07-19,Oracle Financial Services Applications Banking Corporate Lending组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1519
CVE-2018-2891,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。Retail Bulk Data Integration是其中的一个数据集成组件。,Oracle Retail Applications Retail Bulk Data Integr...,2018-07-19,Oracle Retail Applications Retail Bulk Data Integration组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1521
CVE-2018-2881,Oracle Retail Applications是美国甲骨文（Oracle）公司的一套零售应用商店解决方案。MICROS Retail-J是其中的一个高级零售系统组件。,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,Oracle Retail Applications MICROS Retail-J组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1524
CVE-2018-2906,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Hardware Management Pack是其中的一个硬件管理组件。,Oracle Sun Systems Products Suite Hardware Managem...,2018-07-19,Oracle Sun Systems Products Suite Hardware Management Pack组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1509
CVE-2018-2907,Oracle Hyperion是美国甲骨文（Oracle）公司的一套财务建模应用软件，它提供财务结算、报表制作等功能。Hyperion Financial Reporting是其中的一个财务报表管理组件。,Oracle Hyperion Hyperion Financial Reporting组件安全漏洞...,2018-07-19,Oracle Hyperion Hyperion Financial Reporting组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1508
CVE-2018-2908,Oracle Sun Systems Products Suite是美国甲骨文（Oracle）公司的一款Sun系统产品套件。Solaris是其中的一个类Unix操作系统。,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,Oracle Sun Systems Products Suite Solaris组件安全漏洞,2018-07-19,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1507
